
2025/03/26 (21:22:09) | ===> btop++ v.1.4.0
2025/03/26 (21:22:09) | ERROR: Stall in Runner thread, restarting!

2025/03/27 (16:23:49) | ===> btop++ v.1.4.0
2025/03/27 (16:23:49) | ERROR: Stall in Runner thread, restarting!
2025/03/27 (16:24:07) | ERROR: Stall in Runner thread, restarting!

2025/03/27 (18:04:53) | ===> btop++ v.1.4.0
2025/03/27 (18:04:53) | ERROR: Stall in Runner thread, restarting!
2025/03/27 (18:35:47) | ERROR: Stall in Runner thread, restarting!

2025/04/05 (09:33:46) | ===> btop++ v.1.4.0
2025/04/05 (09:33:46) | ERROR: Stall in Runner thread, restarting!

2025/04/05 (17:18:51) | ===> btop++ v.1.4.0
2025/04/05 (17:18:51) | ERROR: Stall in Runner thread, restarting!

2025/04/07 (16:12:02) | ===> btop++ v.1.4.0
2025/04/07 (16:12:02) | ERROR: Stall in Runner thread, restarting!

2025/04/11 (17:30:12) | ===> btop++ v.1.4.0
2025/04/11 (17:30:12) | ERROR: No response from Runner thread, quitting!

2025/04/13 (13:16:03) | ===> btop++ v.1.4.0
2025/04/13 (13:16:03) | ERROR: Stall in Runner thread, restarting!
2025/04/13 (13:16:09) | ERROR: Stall in Runner thread, restarting!
2025/04/13 (13:16:15) | ERROR: Stall in Runner thread, restarting!
2025/04/13 (13:16:21) | ERROR: Stall in Runner thread, restarting!
